adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,/hAlB9MaamrP1eDhGA4AkjSAPxAf.jpg,,0,"[{'id': 99, 'name': 'Documentary'}]",,501,tt0427312,en,Grizzly Man,"Werner Herzog's documentary film about the ""Grizzly Man"" Timothy Treadwell and what the thirteen summers in a National Park in Alaska were like in one man's attempt to protect the grizzly bears. The film is full of unique images and a look into the spirit of a man who sacrificed himself for nature.",12.048,/nXIV2qGK9KkdkaOTzrpK87CuAGC.jpg,"[{'id': 274, 'logo_path': None, 'name': 'Discovery Docs', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-08-12,0,103,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"In nature, there are boundaries. One man spent the last 13 years of his life crossing them.",Grizzly Man,False,7.5,624
False,/hAlB9MaamrP1eDhGA4AkjSAPxAf.jpg,,0,"[{'id': 99, 'name': 'Documentary'}]",,501,tt0427312,en,Grizzly Man,"Werner Herzog's documentary film about the ""Grizzly Man"" Timothy Treadwell and what the thirteen summers in a National Park in Alaska were like in one man's attempt to protect the grizzly bears. The film is full of unique images and a look into the spirit of a man who sacrificed himself for nature.",12.048,/nXIV2qGK9KkdkaOTzrpK87CuAGC.jpg,"[{'id': 274, 'logo_path': None, 'name': 'Discovery Docs', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-08-12,0,103,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"In nature, there are boundaries. One man spent the last 13 years of his life crossing them.",Grizzly Man,False,7.5,624
False,/hAlB9MaamrP1eDhGA4AkjSAPxAf.jpg,,0,"[{'id': 99, 'name': 'Documentary'}]",,501,tt0427312,en,Grizzly Man,"Werner Herzog's documentary film about the ""Grizzly Man"" Timothy Treadwell and what the thirteen summers in a National Park in Alaska were like in one man's attempt to protect the grizzly bears. The film is full of unique images and a look into the spirit of a man who sacrificed himself for nature.",12.048,/nXIV2qGK9KkdkaOTzrpK87CuAGC.jpg,"[{'id': 274, 'logo_path': None, 'name': 'Discovery Docs', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-08-12,0,103,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"In nature, there are boundaries. One man spent the last 13 years of his life crossing them.",Grizzly Man,False,7.5,624
False,/hAlB9MaamrP1eDhGA4AkjSAPxAf.jpg,,0,"[{'id': 99, 'name': 'Documentary'}]",,501,tt0427312,en,Grizzly Man,"Werner Herzog's documentary film about the ""Grizzly Man"" Timothy Treadwell and what the thirteen summers in a National Park in Alaska were like in one man's attempt to protect the grizzly bears. The film is full of unique images and a look into the spirit of a man who sacrificed himself for nature.",12.048,/nXIV2qGK9KkdkaOTzrpK87CuAGC.jpg,"[{'id': 274, 'logo_path': None, 'name': 'Discovery Docs', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-08-12,0,103,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"In nature, there are boundaries. One man spent the last 13 years of his life crossing them.",Grizzly Man,False,7.5,624
False,/hAlB9MaamrP1eDhGA4AkjSAPxAf.jpg,,0,"[{'id': 99, 'name': 'Documentary'}]",,501,tt0427312,en,Grizzly Man,"Werner Herzog's documentary film about the ""Grizzly Man"" Timothy Treadwell and what the thirteen summers in a National Park in Alaska were like in one man's attempt to protect the grizzly bears. The film is full of unique images and a look into the spirit of a man who sacrificed himself for nature.",12.048,/nXIV2qGK9KkdkaOTzrpK87CuAGC.jpg,"[{'id': 274, 'logo_path': None, 'name': 'Discovery Docs', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-08-12,0,103,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"In nature, there are boundaries. One man spent the last 13 years of his life crossing them.",Grizzly Man,False,7.5,624
False,/hAlB9MaamrP1eDhGA4AkjSAPxAf.jpg,,0,"[{'id': 99, 'name': 'Documentary'}]",,501,tt0427312,en,Grizzly Man,"Werner Herzog's documentary film about the ""Grizzly Man"" Timothy Treadwell and what the thirteen summers in a National Park in Alaska were like in one man's attempt to protect the grizzly bears. The film is full of unique images and a look into the spirit of a man who sacrificed himself for nature.",12.048,/nXIV2qGK9KkdkaOTzrpK87CuAGC.jpg,"[{'id': 274, 'logo_path': None, 'name': 'Discovery Docs', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-08-12,0,103,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"In nature, there are boundaries. One man spent the last 13 years of his life crossing them.",Grizzly Man,False,7.5,624
False,/hAlB9MaamrP1eDhGA4AkjSAPxAf.jpg,,0,"[{'id': 99, 'name': 'Documentary'}]",,501,tt0427312,en,Grizzly Man,"Werner Herzog's documentary film about the ""Grizzly Man"" Timothy Treadwell and what the thirteen summers in a National Park in Alaska were like in one man's attempt to protect the grizzly bears. The film is full of unique images and a look into the spirit of a man who sacrificed himself for nature.",12.048,/nXIV2qGK9KkdkaOTzrpK87CuAGC.jpg,"[{'id': 274, 'logo_path': None, 'name': 'Discovery Docs', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-08-12,0,103,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"In nature, there are boundaries. One man spent the last 13 years of his life crossing them.",Grizzly Man,False,7.5,624
False,/hAlB9MaamrP1eDhGA4AkjSAPxAf.jpg,,0,"[{'id': 99, 'name': 'Documentary'}]",,501,tt0427312,en,Grizzly Man,"Werner Herzog's documentary film about the ""Grizzly Man"" Timothy Treadwell and what the thirteen summers in a National Park in Alaska were like in one man's attempt to protect the grizzly bears. The film is full of unique images and a look into the spirit of a man who sacrificed himself for nature.",12.048,/nXIV2qGK9KkdkaOTzrpK87CuAGC.jpg,"[{'id': 274, 'logo_path': None, 'name': 'Discovery Docs', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-08-12,0,103,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"In nature, there are boundaries. One man spent the last 13 years of his life crossing them.",Grizzly Man,False,7.5,624
False,/hAlB9MaamrP1eDhGA4AkjSAPxAf.jpg,,0,"[{'id': 99, 'name': 'Documentary'}]",,501,tt0427312,en,Grizzly Man,"Werner Herzog's documentary film about the ""Grizzly Man"" Timothy Treadwell and what the thirteen summers in a National Park in Alaska were like in one man's attempt to protect the grizzly bears. The film is full of unique images and a look into the spirit of a man who sacrificed himself for nature.",12.048,/nXIV2qGK9KkdkaOTzrpK87CuAGC.jpg,"[{'id': 274, 'logo_path': None, 'name': 'Discovery Docs', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-08-12,0,103,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"In nature, there are boundaries. One man spent the last 13 years of his life crossing them.",Grizzly Man,False,7.5,624
False,/hAlB9MaamrP1eDhGA4AkjSAPxAf.jpg,,0,"[{'id': 99, 'name': 'Documentary'}]",,501,tt0427312,en,Grizzly Man,"Werner Herzog's documentary film about the ""Grizzly Man"" Timothy Treadwell and what the thirteen summers in a National Park in Alaska were like in one man's attempt to protect the grizzly bears. The film is full of unique images and a look into the spirit of a man who sacrificed himself for nature.",12.048,/nXIV2qGK9KkdkaOTzrpK87CuAGC.jpg,"[{'id': 274, 'logo_path': None, 'name': 'Discovery Docs', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-08-12,0,103,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"In nature, there are boundaries. One man spent the last 13 years of his life crossing them.",Grizzly Man,False,7.5,624
